Sector,LST_current,NDVI_current,TCI_current,UTFVI_current,UTFVI_class_cur,Composite_current,LST_target,LST_gap,ΔNDVI_required,ΔTCI_required,NDVI_target,TCI_target,UTFVI_target,UTFVI_class_tgt,Composite_target,Composite_change,Primary_driver,Primary_SHAP,Secondary_driver,Secondary_SHAP,Intervention_type,Priority_index,Priority_rank
Manimajra,41.213,0.2859,3.8565,0.3473,Worst,0.9433,39.127,2.086,0.0974,-0.7388,0.3833,3.1177,0.0,Good,0.7449,-0.1984,NDVI,0.449,TCI,0.1121,Green infrastructure (NDVI),1.0,1
45,41.123,0.2757,1.5537,0.2999,Worst,0.7852,39.127,1.996,0.0943,-0.762,0.37,0.7917,0.0,Good,0.592,-0.1933,NDVI,0.4823,NDBI,0.1552,Green infrastructure (NDVI),0.8947,2
34,40.947,0.348,1.9783,0.2667,Worst,0.647,39.127,1.82,0.0717,-0.6082,0.4197,1.3701,0.0,Good,0.4862,-0.1608,NDVI,0.3991,NDBI,0.1655,Green infrastructure (NDVI),0.7792,3
26E,40.878,0.3338,1.632,0.3028,Worst,0.5395,39.127,1.751,0.0612,-0.5598,0.395,1.0722,0.0,Good,0.3923,-0.1473,NDVI,0.4233,NDBI,0.2253,Green infrastructure (NDVI),0.7057,4
61,41.009,0.3096,1.4889,0.3321,Worst,0.4799,39.127,1.882,0.0747,-0.3671,0.3843,1.1218,0.0,Good,0.3251,-0.1548,NDVI,0.4283,NDBI,0.216,Green infrastructure (NDVI),0.7055,5
52,40.876,0.3504,1.4889,0.3075,Worst,0.5309,39.127,1.749,0.0615,-0.2834,0.4119,1.2055,0.0,Good,0.3961,-0.1348,NDVI,0.3971,NDBI,0.2233,Green infrastructure (NDVI),0.7006,6
22,40.493,0.3427,3.2811,0.2842,Worst,0.5624,39.127,1.366,0.0675,-0.4683,0.4102,2.8129,0.0,Good,0.4302,-0.1322,NDVI,0.3554,NDBI,0.1143,Green infrastructure (NDVI),0.6255,7
41,40.548,0.3152,1.9217,0.3135,Worst,0.5365,39.127,1.421,0.0575,-0.459,0.3727,1.4627,0.0,Good,0.4104,-0.1261,NDVI,0.4376,NDBI,0.1853,Green infrastructure (NDVI),0.6249,8
40,40.494,0.33,1.1297,0.1755,Worst,0.5558,39.127,1.367,0.0677,-0.0,0.3977,1.1297,0.0,Good,0.4447,-0.1111,NDVI,0.427,NDBI,0.2012,Green infrastructure (NDVI),0.6223,9
44,40.298,0.3521,1.842,0.1994,Worst,0.6275,39.127,1.171,0.0531,-0.4293,0.4052,1.4127,0.0,Good,0.5168,-0.1107,NDVI,0.3763,NDBI,0.1592,Green infrastructure (NDVI),0.6133,10
21,40.066,0.3335,2.2654,0.1701,Worst,0.65,39.127,0.939,0.0478,-0.2902,0.3813,1.9752,0.0,Good,0.5595,-0.0906,NDVI,0.3789,NDBI,0.115,Green infrastructure (NDVI),0.5696,11
20,40.057,0.3624,2.508,0.2163,Worst,0.6379,39.127,0.93,0.0391,-0.32,0.4015,2.188,0.0,Good,0.5534,-0.0845,NDVI,0.2267,NDBI,0.1252,Green infrastructure (NDVI),0.561,12
47,40.121,0.3866,1.1889,0.1913,Worst,0.5523,39.127,0.994,0.0211,-0.0,0.4077,1.1889,0.0,Good,0.4942,-0.0581,NDBI,0.1617,NDVI,0.0826,Built-up reduction / cool surfaces (NDBI),0.531,13
37,40.22,0.3418,2.1514,0.2156,Worst,0.5064,39.127,1.093,0.0566,-0.3192,0.3984,1.8322,0.0,Good,0.401,-0.1053,NDVI,0.3364,NDBI,0.0985,Green infrastructure (NDVI),0.5304,14
25,40.012,0.3689,1.1623,0.0346,Worst,0.5966,39.127,0.885,0.0211,-0.0,0.39,1.1623,0.0,Good,0.543,-0.0536,NDBI,0.1407,NDVI,0.1392,Built-up reduction / cool surfaces (NDBI),0.5283,15
38,40.188,0.34,1.572,0.21,Worst,0.4979,39.127,1.061,0.0509,-0.3686,0.3909,1.2034,0.0,Good,0.3963,-0.1017,NDVI,0.3615,NDBI,0.1293,Green infrastructure (NDVI),0.5182,16
35,40.128,0.3433,2.2623,0.2897,Worst,0.5135,39.127,1.001,0.0495,-0.3269,0.3928,1.9354,0.0,Good,0.4173,-0.0961,NDVI,0.343,NDBI,0.1138,Green infrastructure (NDVI),0.5121,17
32,40.206,0.3458,1.7109,0.2207,Worst,0.4651,39.127,1.079,0.0526,-0.4019,0.3984,1.309,0.0,Good,0.3598,-0.1053,NDVI,0.3429,NDBI,0.1029,Green infrastructure (NDVI),0.5051,18
15,40.12,0.3439,1.5326,0.1294,Worst,0.4877,39.127,0.993,0.0494,-0.3067,0.3933,1.2259,0.0,Good,0.3929,-0.0948,NDVI,0.3461,NDBI,0.1158,Green infrastructure (NDVI),0.4965,19
33,40.033,0.3652,2.3263,0.1661,Worst,0.4913,39.127,0.906,0.0344,-0.3778,0.3996,1.9484,0.0,Good,0.409,-0.0824,NDVI,0.16,NDBI,0.105,Green infrastructure (NDVI),0.4776,20
